index,positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,workYear,hitags,companyLabelList,job_detail,Python,SQL,Tableau,Excel,SPSS/SAS
10,数据分析专家,伊澳科技,北京,2000人以上,本科,上市公司,电商,45.0,5-10年,,"[""专项奖金"",""股票期权"",""绩效奖金"",""年终分红""]","
        职位描述
1.基于对业务深入理解的基础上，搭建业务分析模型，为业务提供数据决策和数据支持
2.负责业务数据系统规划建设，构建业务数据模型
3.深入了解业务发展需求，统筹规划业务团队的日常数据监控及分析，灵活支持产品以及业务模块的数据分析命题
4.针对异常数据进行预警、解读和挖掘，并提出解决方案

任职资格
1.大学本科学历，具有数据分析和建模相关理论知识
2.6年以上数据分析工作经验，具有数据提取，经营分析，数据体系构建，策略方面的成功实践和经验
3.能够有效沟通，与业务和产品团队有效配合，推动相关工作落地，有管理经验优先
4.能够主动学习，分析业界最新动态和技术，并应用到数据分析工作中
        ",0,0,0,0,0
11,数据分析师,数数科技,北京,15-50人,本科,A轮,游戏,15.0,1-3年,,"[""节日礼物"",""股票期权"",""带薪年假"",""年终分红""]","
        职位描述：

1. 负责数据后台的实施落地，引导客户了解产品使用方法，传递数据驱动价值；

2. 深入理解客户产品的业务场景，发掘客户的数据远景，以此为目标制定客户的长期使用方案；

3. 对客户的使用数据进行分析，获知客户使用状态及生命周期，对不同状态的客户提供相应的支持；

4. 收集客户的成功案例以及产品最佳实践，协助构建产品使用知识库；

5. 完成日常维护工作，包括后台使用咨询、问题解答、培训提升等支持类服务；

6. 收集客户反馈，协助推进产品优化迭代。

岗位要求：

1. 具备良好的沟通能力、抗压能力以及文档编写能力；

2. 拥有数据收集、数据分析经验以及良好的数据分析意识；

3. 具备企业级数据服务经验者优先、有大数据相关技术基础者优先；

4. 有一年（含）以上相关经验，数学、计算机或相关专业本科学历。
        ",0,0,0,0,0
12,数据分析师,省钱快报,北京,150-500人,本科,C轮,电商,30.0,3-5年,,"[""技能培训"",""带薪年假"",""绩效奖金"",""股票期权""]","
        职位描述：
1、负责搜索和推荐业务的数据分析工作；
2、基于内外部的数据剖析问题、发现机会，并提出有落地可能性的商业策略建议或解决方案；
3、负责业务相关各类a/b实验设计与分析，产品优化效果评估，核心指标异动分析，客户端版本评估等工作；
4、与数据工程、产品技术团队配合、孵化算法、产品类项目，并参与项目的共同推进；

岗位要求：
1、统计、数学、计算机相关专业，本科及以上学历，至少2年数据分析工作经验；
2、熟悉数据库基本原理和结构，能熟练运用 sql和python，独立且高效地完成数据的提取及分析； 
3、有丰富的数据清洗、分析、挖掘的经验，并熟悉常用的数据挖掘方法论； 
4、良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力；
5、较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出。
        ",1,1,0,0,0
13,数据分析,省钱快报,北京,150-500人,本科,C轮,电商,30.0,3-5年,,"[""技能培训"",""带薪年假"",""绩效奖金"",""股票期权""]","
        职位描述： 
1、负责搜索和推荐业务的数据分析工作 
2、基于内外部的数据剖析问题、发现机会，并提出有落地可能性的商业策略建议或解决方案； 
3、负责业务相关各类a/b实验设计与分析，产品优化效果评估，核心指标异动分析，客户端版本评估等工作； 
4、与数据工程、产品技术团队配合、孵化算法、产品类项目，并参与项目的共同推进。 

岗位要求： 
1、统计、数学、计算机相关专业，本科及以上学历，至少2年数据分析工作经验； 
2、熟悉数据库基本原理和结构，能熟练运用 sql和python，独立且高效地完成数据的提取及分析； 
3、有丰富的数据清洗、分析、挖掘的经验，并熟悉常用的数据挖掘方法论； 
4、良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力； 
5、较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出；

",1,1,0,0,0
14,数据分析师,蛋壳公寓,北京,2000人以上,本科,上市公司,消费生活,22.5,3-5年,"[""试用期上公积金"",""地铁周边"",""6险1金""]","[""技能培训"",""带薪年假"",""岗位晋升"",""年度旅游""]","
岗位职责：
1、深入洞察行业、用户、业务背景，分析核心数据，制定科学目标；
2、建立系统的增长模型，驱动增长的持续化和规模化；
3、自上而下拆解目标并分析实现路径，通过深度数据分析发掘业务问题，实现对运营整体策略的制定和优化，制定核心指标抓手，高效推进目标达成；
4、监控数据异常，深入挖掘定位原因，制定优化对策，确保目标达成。

任职要求：
1、统招本科及以上学历，统计、运筹学、经济学、数学等相关专业，985/211学校优先；
2、熟练使用sql、excel等工具，了解python，精通回归分析、数据建模优先；
3、至少三年以上数据分析、运营分析或数据产品相关经验 ，有o2o、租房、平台相关经验优先；
4、具有结构化思维，对数据敏感，自驱型人格。
",1,1,0,1,0
16,数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,12.0,1-3年,,[],"



职位职责：

1、负责inews新闻大数据产品的数据分析、挖掘、监控、整理工作

2、配合数据采集团队进行网站、app、微信、微博等常规渠道的采集工作

3、协助完成产品、运营、研发的数据需求

4、对inews产品的数据结果负责



任职要求：

1、2年及以上数据分析工作经验

2、本科及以上学历

3、熟练掌握excel的使用，例如透视表、vlookup等常用函数

4、加分项，熟悉sql、python、r等语言或其他数据分析软件

5、具有良好的沟通表达能力，逻辑思维能力

6、数学专业优先

",1,1,0,1,0
17,数据分析师,小帮规划,北京,500-2000人,本科,B轮,金融,35.0,3-5年,,"[""五险一金"",""午餐补助"",""交通补助"",""带薪年假""]","
        这个职位需要做什么？
1. 业务数据分析体系优化：包含但不限于业务数据报表体系、薪酬绩效指标体系、活动&资源利用分析体系、激励分析体系等
2. 业务数据指标日常监测&分析：包含但不限于业务过程和项目运营指标（日、周、月报分析维度与框架）、业务结果指标（团队总业绩&分团队业绩达成、增速、环比等）
3. 业务项目专项分析：包含但不限于所在业务部门内部及协同部门业务专项

我们有什么要求？（资深、专家角色都有空缺）
1. 统招本科以上学历，3年以上工作经验，互联网、o2o行业优先
2. 有丰富的大数据处理&分析、市场调研、报告撰写的工作经验，熟练使用相关分析工具，熟悉常见的数据、产品、用户、运营分析方法论
3. 有极强的自我驱动力、较强的提炼能力/组织能力/沟通能力与情绪管理能力，乐于分享、合作

加分项：过往对销售团队，协助制定过业务策略，有项目管理经验
        ",0,0,0,0,0
18,数据分析师,美图公司,北京,2000人以上,本科,上市公司,硬件,35.0,3-5年,,"[""节日礼物"",""与大牛共事"",""福利健全"",""五险一金""]","
        岗位职责： 

1、关注市场动态，做行业深度分析，定期产出行业以及竞争对手动态；

2、业务数据的收集、整理、提取，根据相关数据进行分析，得出结论，为决策和管理做数据支持；

3、分析和跟踪业务实施过程，并且提出改进建议，帮助相关业务线制定策略，确保战略规划的贯彻执行； 

4、与业务部门沟通合作，将分析结果应用于实际业务场景，包括用户增长、留存转化路径优化、供给策略、商业收入等重点指标的拆解分析工作。 

任职要求： 

1、3年以上互联网商业分析、策略运营相关工作经验； 

2、具有良好的商业敏感度和数据分析技能，能够通过有效的分析方法解决复杂的商业问题； 

3、对数据敏感，逻辑严谨，具备出色的沟通协作和项目管理能力，具备解决复杂问题的能力； 

4、有医疗、医美背景者加分；
        ",0,0,0,0,0
21,数据分析师,魔力耳朵,北京,500-2000人,本科,B轮,教育,11.5,1-3年,,"[""带薪年假"",""弹性工作"",""节日礼物"",""领导好""]","
        【岗位职责】
1.基于对教学服务深入理解的基础上，搭建业务分析模型，统筹规划数据运营团队日常数据监控及分析；
2.向教学服务团队提供相关运营服务反馈数据及相应的数据分析处理，根据数据分析结果，优化业务发展流程；
3.根据业务需求形成固化的报表，负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位；.
4.深入了解业务发展需求，灵活支持团队发展，并提供发展所需数据流程。
【任职要求】
1.统计学等相关专业本科及以上学历，2-3年数据分析相关工作经验，有教育类数据分析经验者优先；
2.对数字敏感，具有优秀的数据处理能力，具备良好的逻辑分析能力、严谨的推理能力和团队合作精神；
3.精通至少一种数据分析/挖掘软件操作，如sas，spss等，熟悉应用常用统计分析方法，统计检验方法。
        ",0,0,0,0,1
22,高级数据分析师,用友,北京,500-2000人,本科,上市公司,数据服务,24.0,3-5年,,[],"
数据分析师 岗位职责:1、 负责政府数据产品和项目中的数据治理、数据分析、数据展示工作；2、 对行业业务进行需求分析，进行专项数据分析，并形成有效的分析报告；3、能够基于数据分析得到成果，为政府管理业务等提供数据支持和辅助决策。 任职资格:1、 统计学、数学、计算机相关专业，本科及以上学历；2、 对数据敏感，有较强逻辑思维能力，善于发现并解决问题；3、 熟练使用word、powerpoint、excel等办公软件；4、 持有工信部颁发数据分析师证书(cpda)，熟悉常用数据分析和挖掘工具者优先；5、 熟悉python语言、机器学习算法；6、 强烈的责任心及抗压能力，工作细致有条理，善于学习，具有良好的团队合作精神。
",1,0,0,1,0
